text,answer
Hi ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Hi ,Welcome to Homeinteriors ChatBot you. 
Hi ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Good morning ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Hi ,Welcome to Homeinteriors ChatBot you. 
Hi ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Good evening ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Good evening ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Good morning ,Welcome to Homeinteriors ChatBot you. 
Hi ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Hi ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Good evening ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Good morning ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Good evening ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Good morning ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Good evening ,Welcome to Homeinteriors ChatBot you. 
Hi ,Welcome to Homeinteriors ChatBot you. 
Good evening ,Welcome to Homeinteriors ChatBot you. 
Good evening ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Hi ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Good morning ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Hi ,Welcome to Homeinteriors ChatBot you. 
Good morning ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Good morning ,Welcome to Homeinteriors ChatBot you. 
Good evening ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Hi ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Good evening ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Good morning ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Good morning ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Hi ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Good evening ,Welcome to Homeinteriors ChatBot you. 
Hi ,Welcome to Homeinteriors ChatBot you. 
Hi ,Welcome to Homeinteriors ChatBot you. 
Hi ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Good evening ,Welcome to Homeinteriors ChatBot you. 
Good morning ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Hi ,Welcome to Homeinteriors ChatBot you. 
Good morning ,Welcome to Homeinteriors ChatBot you. 
Good morning ,Welcome to Homeinteriors ChatBot you. 
Good evening ,Welcome to Homeinteriors ChatBot you. 
Hey ,Welcome to Homeinteriors ChatBot you. 
Good morning ,Welcome to Homeinteriors ChatBot you. 
Good morning ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Howdy ,Welcome to Homeinteriors ChatBot you. 
Good evening ,Welcome to Homeinteriors ChatBot you. 
Hello ,Welcome to Homeinteriors ChatBot you. 
Bye,Goodbye! Have a great day.
Goodbye,Goodbye! Have a great day.
Catch you later,Goodbye! Have a great day.
See you later,Goodbye! Have a great day.
Goodbye,Goodbye! Have a great day.
Catch you later,Goodbye! Have a great day.
Farewell,Goodbye! Have a great day.
Goodbye,Goodbye! Have a great day.
Catch you later,Goodbye! Have a great day.
See you later,Goodbye! Have a great day.
Goodbye,Goodbye! Have a great day.
See you later,Goodbye! Have a great day.
Catch you later,Goodbye! Have a great day.
See you later,Goodbye! Have a great day.
Goodbye,Goodbye! Have a great day.
Bye,Goodbye! Have a great day.
See you later,Goodbye! Have a great day.
Goodbye,Goodbye! Have a great day.
See you later,Goodbye! Have a great day.
Goodbye,Goodbye! Have a great day.
Catch you later,Goodbye! Have a great day.
Goodbye,Goodbye! Have a great day.
See you later,Goodbye! Have a great day.
Goodbye,Goodbye! Have a great day.
Catch you later,Goodbye! Have a great day.
Catch you later,Goodbye! Have a great day.
See you later,Goodbye! Have a great day.
Goodbye,Goodbye! Have a great day.
See you later,Goodbye! Have a great day.
Bye,Goodbye! Have a great day.
Goodbye,Goodbye! Have a great day.
Bye,Goodbye! Have a great day.
Catch you later,Goodbye! Have a great day.
Farewell,Goodbye! Have a great day.
Goodbye,Goodbye! Have a great day.
Bye,Goodbye! Have a great day.
Farewell,Goodbye! Have a great day.
Bye,Goodbye! Have a great day.
Bye,Goodbye! Have a great day.
Goodbye,Goodbye! Have a great day.
Catch you later,Goodbye! Have a great day.
Farewell,Goodbye! Have a great day.
See you later,Goodbye! Have a great day.
Farewell,Goodbye! Have a great day.
Farewell,Goodbye! Have a great day.
Catch you later,Goodbye! Have a great day.
Bye,Goodbye! Have a great day.
Catch you later,Goodbye! Have a great day.
Farewell,Goodbye! Have a great day.
Catch you later,Goodbye! Have a great day.
Farewell,Goodbye! Have a great day.
Bye,Goodbye! Have a great day.
Goodbye,Goodbye! Have a great day.
See you later,Goodbye! Have a great day.
See you later,Goodbye! Have a great day.
Catch you later,Goodbye! Have a great day.
See you later,Goodbye! Have a great day.
Farewell,Goodbye! Have a great day.
Farewell,Goodbye! Have a great day.
Catch you later,Goodbye! Have a great day.
Goodbye,Goodbye! Have a great day.
Goodbye,Goodbye! Have a great day.
Bye,Goodbye! Have a great day.
Goodbye,Goodbye! Have a great day.
See you later,Goodbye! Have a great day.
Catch you later,Goodbye! Have a great day.
Catch you later,Goodbye! Have a great day.
See you later,Goodbye! Have a great day.
Bye,Goodbye! Have a great day.
See you later,Goodbye! Have a great day.
